FIRM,class,Start,End,Length,Night,Gap,WS,idx,Base,StartAdj,LenAdj,Comp,Trans,Press,p1s,p1l,p2s,p2l,MalAdj,NFZ,AFZ,MFZ
4,0,1120,1453,333,0,999,1,1,5.00,0.00,0.00,0.00,-1.00,0.00,0,0,0,0,0,0,0,0
-2,0,1120,1706,586,1,999,0,2,2.00,0.00,0.00,0.00,-3.00,-1.00,4,333,0,0,0,0,0,0
-3,0,1120,1754,634,1,854,0,3,2.00,0.00,0.00,0.00,-3.00,-2.00,-2,586,4,333,0,0,0,0
-4,0,1120,1646,526,1,806,0,4,2.00,0.00,0.00,0.00,-3.00,-3.00,-3,634,-2,586,0,0,0,0
2,0,1120,1581,461,1,999,1,1,2.00,0.00,0.00,0.00,0.00,0.00,-4,526,-3,634,0,0,0,0
1,0,1120,1630,510,1,979,0,2,2.00,0.00,0.00,0.00,0.00,-1.00,2,461,-4,526,0,0,0,0
0,0,1120,1570,450,1,930,0,3,2.00,0.00,0.00,0.00,0.00,-2.00,1,510,2,461,0,0,0,0
-1,0,1120,1767,647,1,990,0,4,2.00,0.00,0.00,0.00,0.00,-3.00,0,450,1,510,0,0,0,0
2,0,1120,1609,489,1,999,1,1,2.00,0.00,0.00,0.00,0.00,0.00,-1,647,0,450,0,0,0,0
1,0,1120,1692,572,1,951,0,2,2.00,0.00,0.00,0.00,0.00,-1.00,2,489,-1,647,0,0,0,0
2,0,1120,1555,435,0,868,0,3,5.00,0.00,0.00,0.00,-1.00,-1.67,1,572,2,489,0,0,0,0
